repeat,dim,bottleneck,ratio,spearman,pvalue,final_loss
5,40,32,0.8,0.3178694182906942,1.3966953943174805e-233,11.857679772377015
5,24,20,0.8333,0.47985175273051756,0.0,4.862163931131363
5,28,24,0.8571,0.43585476680654767,0.0,6.499863964319229
5,32,28,0.875,0.3725298599452986,0.0,9.507318472862243
5,32,32,1.0,0.4187604192116042,0.0,11.01497242450714
6,200,2,0.01,0.0508992261292219,3.5321009908089325e-07,63.51119508743286
6,160,6,0.0375,0.08471426970264052,2.1456347677442396e-17,51.305616569519046
6,192,12,0.0625,0.05833019171150191,5.306619932971529e-09,60.20344409942627
6,176,16,0.0909,0.09027509160647776,1.4986699162449703e-19,55.64340400695801
6,200,24,0.12,0.08070381119186816,6.342210610651643e-16,62.13178958892822
6,192,28,0.1458,0.07416302540869169,1.1226772735904477e-13,59.89191694259644
6,160,28,0.175,0.12562964678457703,1.8274956330991538e-36,50.69079332351684
6,160,32,0.2,0.09379313860894054,5.515445888985187e-21,50.75066137313843
6,96,20,0.2083,0.15807856752557342,5.759165449757557e-57,31.863149213790894
6,128,32,0.25,0.11954816753790753,3.712457956995104e-33,40.90757303237915
6,112,32,0.2857,0.11535648868047564,5.656643837904496e-31,36.52929134368897
6,64,20,0.3125,0.22321539552015393,3.911655023784184e-113,22.45738615989685
6,56,20,0.3571,0.27301509582615097,1.966174668925376e-170,19.007079219818117
6,80,32,0.4,0.17617259303825444,1.6026464594275202e-70,27.576790952682494
6,56,24,0.4286,0.3103266581232666,3.705138125161792e-222,18.782226037979125
6,64,28,0.4375,0.23826106313461062,4.379696512572941e-129,21.417647266387938
6,64,32,0.5,0.2625905750139058,2.3403123401602355e-157,22.27904329299927
6,56,32,0.5714,0.2812780468367804,3.2330041724485435e-181,19.513366889953613
6,48,28,0.5833,0.3085586501415865,1.5789819827350645e-219,15.643466997146607
6,40,24,0.6,0.2780054265320543,6.691018701704838e-177,12.994694590568542
6,32,20,0.625,0.4026989697789897,0.0,6.81940199136734
6,48,32,0.6667,0.310757199647572,8.427568236044189e-223,15.840603947639465
6,40,28,0.7,0.40073379971933804,0.0,11.753705596923828
6,28,20,0.7143,0.43850138700501384,0.0,5.758503091335297
6,32,24,0.75,0.27256944381769443,7.322132550280847e-170,8.319077694416046
6,40,32,0.8,0.4230182911381829,0.0,8.077674841880798
6,24,20,0.8333,0.36529246801692467,0.0,5.462716913223266
6,28,24,0.8571,0.40166052024860527,0.0,8.803615403175353
6,32,28,0.875,0.40666779337067793,0.0,6.717347407341004
6,32,32,1.0,0.3402190840621908,2.0000628495109158e-269,9.941068005561828
7,200,2,0.01,0.04577037993717217,4.6750486761604036e-06,63.05155696868896
7,160,6,0.0375,0.0914762114698191,4.922679838521343e-20,51.67566108703613
7,192,12,0.0625,0.06749294051566475,1.4170209379193728e-11,60.4106987953186
7,176,16,0.0909,0.06465395233335791,9.712593313020778e-11,55.15425853729248
7,200,24,0.12,0.06788365392880465,1.0804540078582461e-11,62.28680772781372
7,192,28,0.1458,0.10126283836732086,3.2758461003474992e-24,59.56747627258301
7,160,28,0.175,0.08947151608533463,3.1306654087591155e-19,50.949946308135985
7,160,32,0.2,0.11278417018257005,1.1300074299761463e-29,51.104205417633054
7,96,20,0.2083,0.15796734751219865,6.901295516010885e-57,32.5868239402771
7,128,32,0.25,0.14214638577496866,2.696476067869637e-46,41.74925079345703
7,112,32,0.2857,0.13427260227949725,1.873148862462122e-41,37.041949367523195
7,64,20,0.3125,0.20113893779538938,8.667317354019996e-92,21.94744715690613
7,56,20,0.3571,0.21649106210891061,2.2433048791153414e-106,18.479660034179688
7,80,32,0.4,0.1622363480428502,6.048570208636353e-60,27.40604963302612
7,56,24,0.4286,0.27874785672347857,7.104814121472909e-178,18.49819498062134
7,64,28,0.4375,0.2474941684709417,1.8930676912329126e-139,21.60726571083069
7,64,32,0.5,0.2609067569210676,2.6701285034586103e-155,22.01270909309387
7,56,32,0.5714,0.269379307817793,8.330748279321861e-166,17.318836069107057
7,48,28,0.5833,0.33591287954312876,2.775708278945706e-262,14.035577630996704
7,40,24,0.6,0.3109665893056659,4.0977490892860234e-223,13.999347257614136
7,32,20,0.625,0.3769116289811163,0.0,7.264228987693786
7,48,32,0.6667,0.3144392291763923,2.4077248912478744e-228,16.90161488056183
7,40,28,0.7,0.4043447463954475,0.0,9.975833821296693
7,28,20,0.7143,0.4307016853190168,0.0,6.568417179584503
7,32,24,0.75,0.4582269392382694,0.0,7.911272394657135
7,40,32,0.8,0.4033216146132162,0.0,11.917658424377441
7,24,20,0.8333,0.4489823865138239,0.0,5.175866311788559
7,28,24,0.8571,0.41018553561385535,0.0,6.13331549167633
7,32,28,0.875,0.3912147409921474,0.0,9.942954540252686
7,32,32,1.0,0.308527596133276,1.755503634874035e-219,6.635819351673126
8,200,2,0.01,0.01983542999604406,0.04731270459516946,62.86640405654907
8,160,6,0.0375,0.07927388199935374,2.0399372752349956e-15,51.03186321258545
8,192,12,0.0625,0.08893906572510896,5.082285704626883e-19,60.78587112426758
8,176,16,0.0909,0.110019530607277,2.6169690037516098e-28,55.58355903625488
8,200,24,0.12,0.06576296280990349,4.6229070559505623e-11,62.6631947517395
8,192,28,0.1458,0.053606612962058105,8.146750175472379e-08,60.26507120132446
8,160,28,0.175,0.10245247000829685,9.52106761653966e-25,51.595203971862794
8,160,32,0.2,0.08585770639777962,7.93131347211136e-18,50.99015731811524
8,96,20,0.2083,0.14280509912519415,1.0300484599636562e-46,32.37333617210388
8,128,32,0.25,0.10176393875308287,1.9500472683613407e-24,42.45503797531128
8,112,32,0.2857,0.15224626226082533,6.35193323044815e-53,37.106478977203366
8,64,20,0.3125,0.24441314552013144,6.093080864831954e-136,21.74025444984436
8,56,20,0.3571,0.262495805312958,3.0581869757971634e-157,17.69940495491028
8,80,32,0.4,0.21435430181018605,2.825749224159878e-104,27.20334634780884
8,56,24,0.4286,0.25598051059580507,2.2837203908491017e-149,18.59013738632202
8,64,28,0.4375,0.25228515942285157,5.2987978556644965e-145,21.332328033447265
8,64,32,0.5,0.19465705310657055,5.6096727260065905e-86,20.68268280029297
8,56,32,0.5714,0.31275653379156537,8.41612793668803e-226,17.985032510757446
8,48,28,0.5833,0.3346173399461734,3.7141742735323894e-260,14.8805330991745
8,40,24,0.6,0.35365266047652666,1.8930088008940498e-292,12.000312566757202
8,32,20,0.625,0.4259261799352618,0.0,7.361772918701172
8,48,32,0.6667,0.31029662095896615,4.1080031999975714e-222,14.416888070106506
8,40,28,0.7,0.3542056836380568,2.0178527252327285e-293,12.746179294586181
8,28,20,0.7143,0.4076117478681175,0.0,8.462210726737975
8,32,24,0.75,0.324410499832105,9.254135072963618e-244,10.451404666900634
8,40,32,0.8,0.43309867574298677,0.0,10.667368149757385
8,24,20,0.8333,0.4422538304465384,0.0,5.38212000131607
8,28,24,0.8571,0.34012050716920506,2.9229729896915574e-269,6.687476074695587
8,32,28,0.875,0.39945276121052764,0.0,13.336538052558899
8,32,32,1.0,0.4318870234428702,0.0,8.655131900310517
9,200,2,0.01,0.055589184737592466,2.658992996348399e-08,62.4434250831604
9,160,6,0.0375,0.07810257577445491,5.230965609628982e-15,51.32256116867065
9,192,12,0.0625,0.07233479458364644,4.4191047047409355e-13,61.99574518203735
9,176,16,0.0909,0.06100477022020329,1.0254284715375578e-09,55.95827445983887
9,200,24,0.12,0.08899486575232857,4.831317415221677e-19,62.62573919296265
9,192,28,0.1458,0.08055062700289907,7.194841430204783e-16,60.1175217628479
9,160,28,0.175,0.10094827916949303,4.530745526483686e-24,51.047139167785645
9,160,32,0.2,0.08605613728816269,6.664323763009486e-18,50.66667013168335
9,96,20,0.2083,0.20520958489296298,1.525693051947806e-95,31.597490215301512
9,128,32,0.25,0.11617486461448673,2.1506874494279593e-31,41.35927667617798
9,112,32,0.2857,0.1619157594669677,1.0332487728324888e-59,36.230797386169435
9,64,20,0.3125,0.19924468578044685,4.542500206001084e-90,23.341282176971436
9,56,20,0.3571,0.25920251730002514,3.1141754170850976e-153,19.34761686325073
9,80,32,0.4,0.2035299529519101,5.526809985608443e-94,25.936384010314942
9,56,24,0.4286,0.2924055502400555,2.4575439111554393e-196,19.29654417037964
9,64,28,0.4375,0.2439286792352868,2.1473126775193124e-135,22.68344168663025
9,64,32,0.5,0.1905569497655695,2.085605068421276e-82,22.472490882873537
9,56,32,0.5714,0.2766352306503523,4.1210739644231806e-175,19.499330759048462
9,48,28,0.5833,0.3379998235759982,9.913172622356213e-266,15.050655412673951
9,40,24,0.6,0.4190940125669401,0.0,11.73275809288025
9,32,20,0.625,0.4290174682621747,0.0,9.09726539850235
9,48,32,0.6667,0.32105054991050547,1.6851969283621492e-238,13.31959068775177
9,40,28,0.7,0.35326029500860295,9.242349914797955e-292,10.164891648292542
9,28,20,0.7143,0.3920704229487042,0.0,9.230329513549805
9,32,24,0.75,0.39682340879623407,0.0,9.144115757942199
9,40,32,0.8,0.3544839221088392,6.531057272927717e-294,9.016293048858643
9,24,20,0.8333,0.5126873848828738,0.0,2.86266975402832
9,28,24,0.8571,0.45908239801882395,0.0,4.88833624124527
9,32,28,0.875,0.4112992758809928,0.0,7.395060467720032
9,32,32,1.0,0.3914773180707732,0.0,9.635682678222656
10,200,2,0.01,0.055393403923218766,2.9749635046016945e-08,63.22514791488648
10,160,6,0.0375,0.09091094977131382,8.32790546153955e-20,51.71659936904907
10,192,12,0.0625,0.0825204082455251,1.395683504819311e-16,60.41290397644043
10,176,16,0.0909,0.0805909436229453,6.960067275512254e-16,55.11251058578491
10,200,24,0.12,0.09300092533560692,1.1729604953849547e-20,62.44092559814453
10,192,28,0.1458,0.0889443477072639,5.057987782810174e-19,59.96463975906372
10,160,28,0.175,0.08894140569428106,5.07150729919378e-19,51.55155620574951
10,160,32,0.2,0.12257802549865598,8.760938365460036e-35,50.519381809234616
10,96,20,0.2083,0.17166495018295772,5.324101028211966e-67,31.059809112548827
10,128,32,0.25,0.11777373879252995,3.186926433718247e-32,40.654415893554685
10,112,32,0.2857,0.16557325189078131,2.1501858435311075e-62,37.04716606140137
10,64,20,0.3125,0.20354119609941196,5.396161222410449e-94,22.72237362861633
10,56,20,0.3571,0.3016875349008753,1.7624961790389936e-209,18.583388376235963
10,80,32,0.4,0.21746527205065272,2.4308717205855115e-107,27.05860733985901
10,56,24,0.4286,0.2556355102803551,5.878461609307381e-149,18.060284423828126
10,64,28,0.4375,0.23577008767770086,2.3021945016044248e-126,21.276244258880617
10,64,32,0.5,0.2545409727134097,1.1690196169284797e-147,20.828218269348145
10,56,32,0.5714,0.26677054107970544,1.5726586068572904e-162,17.889073848724365
10,48,28,0.5833,0.25266438897064386,1.9032084111241933e-145,14.594766759872437
10,40,24,0.6,0.3664329673243297,0.0,10.5942391872406
10,32,20,0.625,0.3883475491274755,0.0,7.428555262088776
10,48,32,0.6667,0.3468526877645269,1.184093296354337e-280,16.38233873844147
10,40,28,0.7,0.4094097138740971,0.0,13.15791585445404
10,28,20,0.7143,0.36903852592238523,0.0,4.894061732292175
10,32,24,0.75,0.4006318124863181,0.0,8.813667273521423
10,40,32,0.8,0.34569413202094135,1.1326694294664082e-278,11.422099900245666
10,24,20,0.8333,0.4236068355840683,0.0,4.661184144020081
10,28,24,0.8571,0.4876842863928429,0.0,4.674681174755096
10,32,28,0.875,0.4660499181764992,0.0,6.206724911928177
10,32,32,1.0,0.4454524278265242,0.0,8.779288816452027
11,200,2,0.01,0.0695272221916723,3.396053091864742e-12,63.92170648574829
11,160,6,0.0375,0.055849224364364805,2.289257625751718e-08,50.875827884674074
11,192,12,0.0625,0.060092821240867775,1.8103846918316704e-09,60.308339309692386
11,176,16,0.0909,0.08867550173195818,6.452937921568659e-19,55.2251576423645
11,200,24,0.12,0.07004479807973056,2.3457003849269976e-12,63.20344934463501
11,192,28,0.1458,0.0656312054324294,5.052403840701302e-11,60.34929161071777
11,160,28,0.175,0.1206046871147311,1.0162104127010622e-33,50.443399333953856
11,160,32,0.2,0.09014724468718668,1.685761743047323e-19,51.33321342468262
11,96,20,0.2083,0.14176303630455034,4.7109194153758505e-46,32.078152322769164
11,128,32,0.25,0.16882184487309557,7.903799546330848e-65,41.69985504150391
11,112,32,0.2857,0.14670392466158627,3.1496519153538264e-49,36.67543859481812
11,64,20,0.3125,0.22653504684935047,1.4856899250614827e-116,21.968890476226807
11,56,20,0.3571,0.25911614372316144,3.9598675863594865e-153,18.171611261367797
11,80,32,0.4,0.21846659728866596,2.4480871154662087e-108,27.271035861968993
11,56,24,0.4286,0.25395231402752316,5.802157540063976e-147,17.91314353942871
11,64,28,0.4375,0.24592919362729193,1.1615359351067585e-137,22.552352380752563
11,64,32,0.5,0.23102245525822457,2.880957509811311e-121,20.338852453231812
11,56,32,0.5714,0.2905239416772394,9.900779717764751e-194,19.061297512054445
11,48,28,0.5833,0.34158235839182355,1.0375714163846145e-271,16.52857549190521
11,40,24,0.6,0.4021364119693641,0.0,9.922838246822357
11,32,20,0.625,0.31377470418574704,2.443788644332678e-227,10.023249769210816
11,48,32,0.6667,0.2708785898367859,1.0503156285155202e-167,15.368337202072144
11,40,28,0.7,0.3984675797046758,0.0,10.277968525886536
11,28,20,0.7143,0.41858549225785496,0.0,7.789242923259735
11,32,24,0.75,0.3768076111920761,0.0,10.478658628463744
11,40,32,0.8,0.37300105775801057,0.0,12.237791037559509
11,24,20,0.8333,0.518276096314761,0.0,2.7490362167358398
11,28,24,0.8571,0.37720126483601263,0.0,6.721346306800842
11,32,28,0.875,0.41765082888050825,0.0,8.513143491744994
11,32,32,1.0,0.44229794113897936,0.0,8.227938151359558
12,200,2,0.01,0.04780016294634658,1.734282541523456e-06,63.534312629699706
12,160,6,0.0375,0.05850065113806586,4.788857136972242e-09,51.62171516418457
12,192,12,0.0625,0.06886905756771083,5.415696256542385e-12,60.11112537384033
12,176,16,0.0909,0.07481987178486943,6.806308333675812e-14,55.5594144821167
12,200,24,0.12,0.06959118412346102,3.244723649277489e-12,62.218209171295165
12,192,28,0.1458,0.0852296576686498,1.3723100180498705e-17,60.440023231506345
12,160,28,0.175,0.10756353708798376,3.9949065939324506e-27,51.0994029045105
12,160,32,0.2,0.11459628797042681,1.3803604594840122e-30,51.14663581848144
12,96,20,0.2083,0.1550412314051111,7.680158486297879e-55,32.931825399398804
12,128,32,0.25,0.12464030706144397,6.476677825357178e-36,42.20380687713623
12,112,32,0.2857,0.16412140545807388,2.53807726425384e-61,36.992912483215335
12,64,20,0.3125,0.18272288178322882,8.229505674359738e-76,22.40128622055054
12,56,20,0.3571,0.24054135774541358,1.3269165413461574e-131,18.19353370666504
